CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,,,,,,0.95652,0.95864,0.96357,0.96397,0.96801,,0.97112,0.97605,,0.98986,0.99374,0.99674,,1.00938
Maldives,1.01129,1.01124,1.02733,1.01913,1.02631,,,,,,,,,,,,,,
Middle East & North Africa,0.898249984,0.906189978,0.912530005,0.919269979,0.92513001,0.93028003,0.934369981,0.942300022,0.939989984,0.938970029,0.93935,0.93718,0.9423,0.94591,0.94906,0.95259,0.95459,0.95568,0.95821
Mexico,0.98946,0.9962,1.00138,1.00969,1.00507,1.00455,1.00862,1.01374,1.01976,1.0246,1.02506,1.02425,1.02397,1.0208,1.02283,1.02983,1.03638,1.03918,
Marshall Islands,,,0.97993,1.04791,0.99307,1.15487,1.00383,0.99232,1.03196,1.00926,,,,,,1.01565,1.02567,,
Middle income,0.920960009,0.925270021,0.929340005,0.95134002,0.953660011,0.957629979,0.961969972,0.966949999,0.975340009,0.98338002,0.98149,0.98395,0.98827,1.00656,1.00925,1.00858,1.01624,1.01358,1.01287
North Macedonia,0.97304,0.97532,0.98051,0.97719,0.97413,0.9723,,0.9662,0.963,0.96688,0.97647,,0.98274,0.97928,0.97797,0.99062,,,
Mali,0.70377,,,0.7123,0.73416,0.74574,0.75883,0.7783,0.78251,0.79075,0.80729,0.81824,,,0.83934,0.86426,0.83802,0.86822,0.8764
Malta,0.99082,0.97344,0.98645,0.99065,0.96271,0.96777,0.98874,0.97319,0.97916,,0.93522,1.00489,1.01256,1.01801,1.02657,1.04008,1.03104,,
Myanmar,0.99308,0.96121,0.9647,0.96781,0.96649,0.98666,0.9823,,,0.99125,1.0077,,,,0.98841,,1.01694,1.00478,
Middle East & North Africa (excluding high income),0.894999981,0.902059972,0.908460021,0.915009975,0.920029998,0.924099982,0.928870022,0.937849998,0.935660005,0.935720026,0.93674,0.93564,0.94013,0.94564,0.95254,0.95484,0.95858,0.95844,0.96098
Montenegro,,,,1.01356,1.01692,1.02656,1.02319,1.0197,1.10406,1.01724,1.02055,1.02066,1.02684,,,1.01127,1.00465,1.00782,
Mongolia,1.11674,1.11355,1.10488,1.08103,1.064,1.06137,1.05494,,,1.03254,1.02403,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,
Mozambique,0.73908,0.75538,0.7736,,0.81236,0.82217,0.83787,0.84432,0.85426,0.87064,0.87693,0.88809,0.89395,0.89897,0.90495,0.90603,,0.91769,
Mauritania,0.92761,0.92451,0.94521,0.96603,0.9813,1.00335,0.9908,,1.01476,1.00959,1.01052,1.01252,1.00435,1.02193,1.02126,1.02072,1.03877,1.05055,1.0468
